record_id,current_gpa,vegetables,vegetables_2,fruit,fruit_juice,green_salad,milk,breakfast,soda,diet_soda,energy_drinks,sports_drinks,fast_food,gpa_quality_flag
134,3.04,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
135,3.9,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
136,3.45,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,0 glasses (not at all),2 days,0 times (not at all),1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,valid
137,3.84,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
138,3.15,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 glasses,5 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
139,2.5,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),7 to 10 times,0 times (not at all),1 to 3 times,valid
140,3.4,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),6 days,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),1 to 3 times,valid
141,3.4,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,0 glasses (not at all),7 days (everyday),11 times or more,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
142,2.6,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),4 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
143,3.1,1 to 3 times,1 to 3 times,1 to 3 times,11 times or more,4 to 6 times,0 glasses (not at all),3 days,7 to 10 times,0 times (not at all),0 times (not at all),0 times (not at all),7 to 10 times,valid
144,2.99,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
145,3.4,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 glasses (not at all),3 days,4 to 6 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
146,2.51,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,0 glasses (not at all),3 days,1 to 3 times,0 times (not at all),11 times or more,1 to 3 times,1 to 3 times,valid
147,3.2,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 times (not at all),4 to 6 glasses,4 days,0 times (not at all),0 times (not at all),4 to 6 times,0 times (not at all),1 to 3 times,valid
148,3.6,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,0 glasses (not at all),7 days (everyday),1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
149,3.45,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
150,3.3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
151,3.76,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,1 to 3 glasses,1 day,4 to 6 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
152,3.92,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),5 days,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,valid
153,3.56,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 glasses,2 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
154,2.9,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 glasses,3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
155,2.5,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,2 days,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
156,3.2,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),0 days (not at all),0 times (not at all),4 to 6 times,1 to 3 times,0 times (not at all),1 to 3 times,valid
157,3.1,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,0 glasses (not at all),2 days,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,valid
158,2.69,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 glasses,0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
159,3.6,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
160,4,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,0 glasses (not at all),2 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
161,3.721,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,4 to 6 glasses,2 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
162,3,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 glasses,3 days,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,valid
163,3.61,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,1 to 3 glasses,4 days,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
164,3.36,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
165,3.2,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,0 glasses (not at all),1 day,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,4 to 6 times,valid
166,3.78,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,0 glasses (not at all),7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,4 to 6 times,valid
167,3.3,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,3 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
168,3.2,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,7 to 10 glasses,5 days,7 to 10 times,0 times (not at all),4 to 6 times,1 to 3 times,1 to 3 times,valid
169,3.6,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,7 to 10 glasses,5 days,7 to 10 times,0 times (not at all),4 to 6 times,1 to 3 times,1 to 3 times,valid
170,3.78,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),4 to 6 glasses,3 days,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
171,2.6,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,4 to 6 glasses,1 day,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
172,3.8,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
173,3.9,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
174,3.83,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,1 to 3 glasses,3 days,4 to 6 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
175,3.4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),5 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
176,3.78,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,7 to 10 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
177,3.06,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 glasses,3 days,11 times or more,0 times (not at all),0 times (not at all),4 to 6 times,4 to 6 times,valid
178,3.893,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,4 to 6 times,0 glasses (not at all),0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
179,3.2,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),4 to 6 times,11 times or more,0 times (not at all),4 to 6 times,valid
180,3.9,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,0 times (not at all),4 to 6 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
181,2.8,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),0 days (not at all),4 to 6 times,0 times (not at all),7 to 10 times,1 to 3 times,4 to 6 times,valid
182,2.89,1 to 3 times,1 to 3 times,7 to 10 times,1 to 3 times,1 to 3 times,1 to 3 glasses,4 days,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,valid
183,2,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,0 glasses (not at all),0 days (not at all),4 to 6 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
184,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,7 days (everyday),4 to 6 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
185,3.3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,7 to 10 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
186,3.25,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,0 times (not at all),1 to 3 glasses,3 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
187,3.5,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),0 times (not at all),1 to 3 glasses,6 days,4 to 6 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),valid
188,3.24,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,0 times (not at all),1 to 3 glasses,7 days (everyday),1 to 3 times,7 to 10 times,0 times (not at all),1 to 3 times,1 to 3 times,valid
189,3.532,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),0 times (not at all),4 to 6 glasses,7 days (everyday),1 to 3 times,1 to 3 times,0 times (not at all),7 to 10 times,1 to 3 times,valid
190,3.6,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,4 to 6 glasses,4 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
191,3.5,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
192,3.89,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 glasses,3 days,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),1 to 3 times,valid
193,3.1,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
194,3.16,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
195,3.37,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),1 to 3 times,valid
196,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
197,3,1 to 3 times,1 to 3 times,1 to 3 times,11 times or more,0 times (not at all),1 to 3 glasses,2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
198,3.1,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),4 to 6 glasses,6 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
199,3.97,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 glasses,6 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
200,3.8,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 glasses,1 day,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
201,2.3,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
202,3.5,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 glasses,2 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
203,3,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,0 glasses (not at all),1 day,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,valid
204,3.8,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,1 to 3 times,0 glasses (not at all),2 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
205,3.7,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 glasses,0 days (not at all),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
206,3.477,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 glasses (not at all),3 days,4 to 6 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
207,3.77,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),0 days (not at all),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
208,3.5,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
209,3.5,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 glasses,3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
210,3.1,1 to 3 times,1 to 3 times,7 to 10 times,1 to 3 times,1 to 3 times,4 to 6 glasses,3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
211,3.2,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),6 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
212,3.7,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 glasses,6 days,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,4 to 6 times,valid
213,3,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
214,4,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),4 to 6 glasses,3 days,4 to 6 times,0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
215,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),1 day,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 times,4 to 6 times,valid
216,3.89,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 glasses,3 days,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,1 to 3 times,valid
217,3.8,1 to 3 times,1 to 3 times,7 to 10 times,0 times (not at all),1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
218,3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),1 day,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
219,3.4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),5 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
220,3,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,4 to 6 times,1 to 3 glasses,2 days,1 to 3 times,1 to 3 times,0 times (not at all),7 to 10 times,0 times (not at all),valid
221,4,1 to 3 times,1 to 3 times,4 to 6 times,4 to 6 times,4 to 6 times,1 to 3 glasses,2 days,1 to 3 times,1 to 3 times,0 times (not at all),7 to 10 times,0 times (not at all),valid
222,4,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 glasses,2 days,7 to 10 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
223,2.67,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),1 day,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 times,1 to 3 times,valid
224,3.575,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),4 to 6 glasses,7 days (everyday),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),4 to 6 times,valid
225,3.7,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,1 to 3 glasses,6 days,4 to 6 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
226,3.3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
227,2.8,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,7 to 10 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
228,2.9,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),1 day,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 times,4 to 6 times,valid
229,3,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,4 to 6 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),7 to 10 times,0 times (not at all),valid
230,3.2,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),0 glasses (not at all),4 days,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
231,3.94,1 to 3 times,1 to 3 times,0 times (not at all),4 to 6 times,0 times (not at all),0 glasses (not at all),1 day,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
232,3.94,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,2 days,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
233,3.9,1 to 3 times,1 to 3 times,7 to 10 times,1 to 3 times,0 times (not at all),0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
234,3,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 glasses,2 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,4 to 6 times,valid
235,3.45,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 glasses,4 days,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),7 to 10 times,valid
236,3.5,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 glasses,0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
237,3.75,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,0 times (not at all),11 glasses or more,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
238,2.8,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,6 days,0 times (not at all),0 times (not at all),0 times (not at all),11 times or more,1 to 3 times,valid
239,3.49,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),1 day,7 to 10 times,0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,valid
240,3,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 glasses,1 day,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
241,2.7,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,0 glasses (not at all),0 days (not at all),1 to 3 times,0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
242,3.75,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,3 days,0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,valid
243,3.668,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 glasses (not at all),2 days,4 to 6 times,0 times (not at all),0 times (not at all),7 to 10 times,1 to 3 times,valid
244,2.6,1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),0 glasses (not at all),0 days (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
245,2.68,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
246,2.7,1 to 3 times,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 glasses (not at all),2 days,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),1 to 3 times,valid
247,3.05,1 to 3 times,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),7 to 10 glasses,7 days (everyday),1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
248,3.5,1 to 3 times,1 to 3 times,4 to 6 times,1 to 3 times,1 to 3 times,4 to 6 glasses,4 days,4 to 6 times,0 times (not at all),0 times (not at all),11 times or more,1 to 3 times,valid
249,3.9,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),1 to 3 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,valid
250,2.7,1 to 3 times,1 to 3 times,1 to 3 times,0 times (not at all),7 to 10 times,0 glasses (not at all),3 days,1 to 3 times,0 times (not at all),1 to 3 times,7 to 10 times,1 to 3 times,valid
251,2.8,1 to 3 times,1 to 3 times,4 to 6 times,0 times (not at all),0 times (not at all),1 to 3 glasses,0 days (not at all),0 times (not at all),7 to 10 times,1 to 3 times,1 to 3 times,7 to 10 times,valid
252,4,11 times or more,11 times or more,7 to 10 times,1 to 3 times,1 to 3 times,0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
253,3.13,11 times or more,11 times or more,4 to 6 times,4 to 6 times,4 to 6 times,0 glasses (not at all),1 day,1 to 3 times,0 times (not at all),1 to 3 times,0 times (not at all),0 times (not at all),valid
254,4.48,11 times or more,11 times or more,11 times or more,0 times (not at all),4 to 6 times,0 glasses (not at all),6 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),above_expected_range
255,4,11 times or more,11 times or more,11 times or more,7 to 10 times,1 to 3 times,0 glasses (not at all),4 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
256,3.3,11 times or more,11 times or more,7 to 10 times,0 times (not at all),1 to 3 times,0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
257,2.8,11 times or more,11 times or more,11 times or more,7 to 10 times,4 to 6 times,0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
258,0.4,11 times or more,11 times or more,1 to 3 times,0 times (not at all),7 to 10 times,0 glasses (not at all),1 day,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
259,3.7,11 times or more,11 times or more,4 to 6 times,1 to 3 times,1 to 3 times,0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),4 to 6 times,1 to 3 times,1 to 3 times,valid
260,3.1,11 times or more,11 times or more,7 to 10 times,1 to 3 times,1 to 3 times,0 glasses (not at all),5 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
261,3.97,11 times or more,11 times or more,11 times or more,0 times (not at all),1 to 3 times,0 glasses (not at all),7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,0 times (not at all),valid
262,3.5,11 times or more,11 times or more,11 times or more,0 times (not at all),7 to 10 times,1 to 3 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),valid
263,3.5,11 times or more,11 times or more,11 times or more,0 times (not at all),4 to 6 times,1 to 3 glasses,6 days,1 to 3 times,0 times (not at all),0 times (not at all),1 to 3 times,1 to 3 times,valid
264,3.1,11 times or more,11 times or more,1 to 3 times,1 to 3 times,0 times (not at all),0 glasses (not at all),3 days,0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
265,4,11 times or more,11 times or more,11 times or more,11 times or more,11 times or more,4 to 6 glasses,7 days (everyday),0 times (not at all),0 times (not at all),0 times (not at all),0 times (not at all),1 to 3 times,valid
266,2.74,11 times or more,11 times or more,11 times or more,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),valid
267,3.5,11 times or more,11 times or more,11 times or more,0 times (not at all),0 times (not at all),0 glasses (not at all),7 days (everyday),1 to 3 times,1 to 3 times,0 times (not at all),0 times (not at all),0 times (not at all),valid
